Pergunta,opção 1,opção 2,opção 3,opção 4,Resposta Correta
"Em que ano ocorreu a Independência do Brasil?",1808,1822,1889,1500,2
"Quem foi o primeiro presidente do Brasil?","Marechal Deodoro da Fonseca",Getúlio Vargas,Juscelino Kubitschek,Dom Pedro II,1
"Quem proclamou a independência do Brasil?",Dom Pedro I,Dom Pedro II,Tiradentes,"José Bonifácio",1
"Em que ano foi proclamada a República no Brasil?",1822,1889,1930,1964,2
"Quem foi conhecido como o ""Mártir da Inconfidência""?",Dom Pedro I,Tiradentes,"Zumbi dos Palmares","José Bonifácio",2
"Qual civilização construiu as pirâmides de Gizé?",Maias,Astecas,Egípcios,Incas,3
"Quem descobriu o Brasil em 1500?",Cristóvão Colombo,Pedro Álvares Cabral,Vasco da Gama,Fernão de Magalhães,2
"Em qual país começou a Revolução Industrial?",Alemanha,França,Inglaterra,EUA,3
"Quem foi o líder da luta contra a escravidão em Palmares?",Tiradentes,Zumbi,Lampião,Dom Pedro II,2
"Qual foi o evento que marcou o fim da Idade Média?",Descobrimento da América,Revolução Francesa,Queda de Constantinopla,Independência do Brasil,3
