Pergunta,opção 1,opção 2,opção 3,opção 4,Resposta Correta
"Qual é a capital da Itália?",Paris,Roma,Madrid,Lisboa,2
"Qual é o maior país da América do Sul?",Argentina,Brasil,Colômbia,Chile,2
"Qual é o rio mais extenso do Brasil?",São Francisco,Paraná,Amazonas,Tietê,3
"Em que continente fica a Austrália?","Ásia",Europa,América,Oceania,4
"Qual é a capital do Japão?",Pequim,Seul,"Tóquio","Hong Kong",3
"Qual é o maior oceano do planeta?","Atlântico","Pacífico","Índico","Ártico",2
"Qual é a capital de Portugal?",Lisboa,Porto,Coimbra,Faro,1
"Qual é o ponto mais alto do mundo?",Everest,K2,"Monte Fuji",Aconcágua,1
"Em que continente fica o deserto do Saara?",América,"África","Ásia",Oceania,2
"Qual é a capital da Rússia?","São Petersburgo",Moscou,Kiev,Minsk,2
